fish_ID,weight_g,sl_cm,tl_cm,time_pt
ST2AC1F,NA,2.91,3.95,4
ST2AC1M,0.05,0.95,1.99,4
ST2AC10F,0.11,1.84,2.2,0.5
ST2AC10M,0.07,1.45,2.11,0.5
ST2AC2F,0.22,2.1,2.6,1
ST2AC2M,0.09,1.55,2.15,1
ST2AC3F,0.21,2.48,3.05,0.5
ST2AC3M,0.13,1.6,2.3,0.5
ST2AC4F,0.12,1.69,2.2,24
ST2AC4M,0.07,1.51,2,24
ST2AC5F,0.07,1.59,2.09,72
ST2AC5M,0.11,1.88,2.51,72
ST2AC6F,0.12,1.61,2.15,72
ST2AC6M,0.12,1.62,1.92,72
ST2AC7F,0.26,2.25,3,4
ST2AC7M,0.08,1.61,2.11,4
ST2AC8M,0.1,1.83,2.3,24
ST2AC8F,0.18,2.08,2.62,24
ST2AC9F,0.55,3.01,4.12,1
ST2AC9M,0.07,1.49,2,1
ST2C1F,0.1,1.68,2.1,4
ST2C1M,0.07,1.4,2.12,4
ST2C10F,0.18,1.87,2.56,0.5
ST2C10M,0.1,1.66,2.28,0.5
ST2C2F,0.21,2.23,2.87,0.5
ST2C2M,0.11,1.61,2.23,0.5
ST2C3F,0.19,1.9,2.34,1
ST2C3M,0.12,1.89,2.3,1
ST2C4F,0.12,1.85,2.2,24
ST2C4M,0.1,1.52,1.98,24
ST2C5F,0.4,3.05,3.89,72
ST2C5M,0.11,1.63,2.3,72
ST2C6F,0.11,1.91,2.47,72
ST2C6M,0.08,1.53,2.03,72
ST2C7F,0.19,2.11,2.78,4
ST2C7M,0.1,1.17,2.28,4
ST2C8M,0.09,1.6,2.21,24
ST2C8F,0.13,1.72,2.23,24
ST2C9F,0.1,1.7,2.32,1
ST2C9M,0.09,1.55,2.04,1
ST2AC11F,0.11,1.72,,72
STAC11M,0.08,1.68,2.71,72
ST2C11F,0.21,2.36,,72
ST2C11M,0.08,1.58,,72
ST2AC13F,0.14,1.8,2.29,4
ST2AC13M,0.04,1.35,1.66,4
ST2C12F,0.09,1.66,,4
ST2C12M,0.1,1.89,2.32,4
ST2C14F,0.19,1.88,2.46,1
ST2C14M,0.05,1.32,1.79,1
ST2AC14F,0.13,1.95,2.12,1
ST2AC14M,0.07,1.5,1.91,1
ST2AC15F,0.06,1.47,1.82,24
ST2AC15M,0.07,1.34,1.77,24
ST2C15F,0.1,1.63,1.99,24
ST2C15M,0.11,1.55,1.98,24
ST2C13F,0.09,1.27,2.15,0.5
ST2C13M,0.07,1.5,1.89,0.5
ST2AC16F,0.1,1.62,2.27,0.5
ST2AC16M,0.04,1.41,1.72,0.5