Sample Name,aligned,Ins. size,Median cov,cov
ST2AC10F_2-2314431_S35_L001_R1_001_val_1,67.70%,285,8.0X,8.3X
ST2AC10M_2-2314436_S40_L001_R1_001_val_1,69.70%,209,16.0X,15.7X
ST2AC11F_2-2314420_S24_L001_R1_001_val_1,68.30%,228,14.0X,13.5X
ST2AC11M_2-2314349_S3_L001_R1_001_val_1,66.70%,275,9.0X,8.9X
ST2AC13F_2-2314417_S21_L001_R1_001_val_1,67.90%,252,10.0X,9.8X
ST2AC13M_2-2314406_S10_L001_R1_001_val_1,68.50%,220,13.0X,13.2X
ST2AC14F_2-2314419_S23_L001_R1_001_val_1,65.80%,277,7.0X,7.0X
ST2AC14M_2-2314414_S18_L001_R1_001_val_1,66.00%,278,10.0X,10.2X
ST2AC15F_2-2314409_S13_L001_R1_001_val_1,66.20%,278,11.0X,11.0X
ST2AC15M_2-2314350_S4_L001_R1_001_val_1,67.40%,247,11.0X,11.1X
ST2AC16F_2-2314411_S15_L001_R1_001_val_1,66.20%,281,9.0X,9.2X
ST2AC16M_2-2314421_S25_L001_R1_001_val_1,68.20%,219,11.0X,10.6X
ST2AC1F_2-2314440_S44_L001_R1_001_val_1,67.30%,291,8.0X,8.5X
ST2AC1M_2-2314450_S54_L001_R1_001_val_1,70.50%,232,10.0X,9.9X
ST2AC2F_2-2314446_S50_L001_R1_001_val_1,66.00%,282,11.0X,10.8X
ST2AC2M_2-2314505_S59_L001_R1_001_val_1,68.00%,281,9.0X,8.7X
ST2AC3F_2-2314444_S48_L001_R1_001_val_1,65.00%,276,8.0X,8.1X
ST2AC3M_2-2314430_S34_L001_R1_001_val_1,67.50%,276,9.0X,8.8X
ST2AC4F_2-2314449_S53_L001_R1_001_val_1,67.80%,287,8.0X,8.0X
ST2AC4M_2-2314435_S39_L001_R1_001_val_1,65.90%,274,9.0X,9.4X
ST2AC5F_2-2314427_S31_L001_R1_001_val_1,67.10%,282,9.0X,9.3X
ST2AC5M_2-2314504_S58_L001_R1_001_val_1,67.00%,282,12.0X,11.8X
ST2AC6F_2-2314408_S12_L001_R1_001_val_1,67.70%,288,9.0X,8.9X
ST2AC6M_2-2314405_S9_L001_R1_001_val_1,67.20%,259,11.0X,10.4X
ST2AC7F_2-2314439_S43_L001_R1_001_val_1,66.30%,270,9.0X,9.0X
ST2AC7M_2-2314506_S60_L001_R1_001_val_1,67.50%,271,9.0X,9.3X
ST2AC8F_2-2314441_S45_L001_R1_001_val_1,65.10%,290,9.0X,9.0X
ST2AC8M_2-2314502_S56_L001_R1_001_val_1,67.10%,288,13.0X,12.7X
ST2AC9F_2-2314415_S19_L001_R1_001_val_1,68.20%,269,9.0X,9.0X
ST2AC9M_2-2314428_S32_L001_R1_001_val_1,66.80%,251,10.0X,10.4X
ST2C10F_2-2314434_S38_L001_R1_001_val_1,68.30%,279,9.0X,9.0X
ST2C10M_2-2314448_S52_L001_R1_001_val_1,65.50%,283,8.0X,8.4X
ST2C11F_2-2314401_S5_L001_R1_001_val_1,66.70%,285,9.0X,9.2X
ST2C11M_2-2314347_S1_L001_R1_001_val_1,68.00%,269,12.0X,11.9X
ST2C12F_2-2314424_S28_L001_R1_001_val_1,66.30%,280,9.0X,9.1X
ST2C12M_2-2314422_S26_L001_R1_001_val_1,66.80%,268,10.0X,9.7X
ST2C13F_2-2314412_S16_L001_R1_001_val_1,69.00%,269,10.0X,9.6X
ST2C13M_2-2314413_S17_L001_R1_001_val_1,68.20%,268,11.0X,10.8X
ST2C14F_2-2314426_S30_L001_R1_001_val_1,69.70%,247,11.0X,11.3X
ST2C14M_2-2314501_S55_L001_R1_001_val_1,66.90%,263,10.0X,10.0X
ST2C15F_2-2314407_S11_L001_R1_001_val_1,66.20%,276,9.0X,9.4X
ST2C15M_2-2314404_S8_L001_R1_001_val_1,67.70%,276,11.0X,10.8X
ST2C1F_2-2314425_S29_L001_R1_001_val_1,66.40%,281,10.0X,9.8X
ST2C1M_2-2314416_S20_L001_R1_001_val_1,65.40%,238,10.0X,9.8X
ST2C2F_2-2314437_S41_L001_R1_001_val_1,65.90%,283,8.0X,8.3X
ST2C2M_2-2314433_S37_L001_R1_001_val_1,67.60%,281,11.0X,10.8X
ST2C3F_2-2314432_S36_L001_R1_001_val_1,67.40%,267,11.0X,11.2X
ST2C3M_2-2314447_S51_L001_R1_001_val_1,69.90%,233,13.0X,12.5X
ST2C4F_2-2314403_S7_L001_R1_001_val_1,68.50%,286,10.0X,9.7X
ST2C4M_2-2314348_S2_L001_R1_001_val_1,66.20%,280,12.0X,12.2X
ST2C5F_2-2314418_S22_L001_R1_001_val_1,66.90%,276,11.0X,10.5X
ST2C5M_2-2314429_S33_L001_R1_001_val_1,66.10%,286,8.0X,8.2X
ST2C6F_2-2314443_S47_L001_R1_001_val_1,67.20%,286,9.0X,8.8X
ST2C6M_2-2314402_S6_L001_R1_001_val_1,67.90%,276,10.0X,10.1X
ST2C7F_2-2314445_S49_L001_R1_001_val_1,67.10%,286,9.0X,9.0X
ST2C7M_2-2314442_S46_L001_R1_001_val_1,68.20%,287,10.0X,10.3X
ST2C8F_2-2314438_S42_L001_R1_001_val_1,68.40%,246,11.0X,11.2X
ST2C8M_2-2314503_S57_L001_R1_001_val_1,67.10%,282,11.0X,10.4X
ST2C9F_2-2314410_S14_L001_R1_001_val_1,65.90%,289,9.0X,9.1X
ST2C9M_2-2314423_S27_L001_R1_001_val_1,68.30%,237,13.0X,12.4X