ID,Tank,Treatment,Time_point_hr,Reads,Unique_Mapped,Unmapped Reads,Perc_Mapping_Efficiency,No_meth_CpGs,No_unmeth_CpGs,No_CpGs,Perc_Meth_CpGs,Perc_Meth_CHGs,Perc_Meth_CHHs
STAC1F,AC1,alarm,4,32857098,22117469,10507417,67.3,69296807,21107054,90403861,76.7,0.9,1
STAC1M,AC1,alarm,4,36975011,26052252,10583379,70.5,70595315,21777710,92373025,76.4,0.9,1
STAC2F,AC2,alarm,1,42620451,28120119,14160085,66,85846857,26800592,112647449,76.2,0.8,0.9
STAC2M,AC2,alarm,1,33459726,22768075,10431290,68,69719418,21557803,91277221,76.4,0.8,0.9
STAC3F,AC3,alarm,0.5,32455106,21083296,11107854,65,63302324,20232382,83534706,75.8,0.9,1
STAC3M,AC3,alarm,0.5,34223155,23096714,10860596,67.5,69955665,21922886,91878551,76.1,0.8,0.9
STAC4F,AC4,alarm,24,30840132,20898434,9708438,67.8,63741732,19447554,83189286,76.6,0.9,1
STAC4M,AC4,alarm,24,37194635,24513551,12367588,65.9,73764105,23924071,97688176,75.5,0.8,0.9
STAC5F,AC5,alarm,72,36212536,24296648,11645156,67.1,73924550,23138460,97063010,76.2,0.8,0.9
STAC5M,AC5,alarm,72,46207155,30944255,14915027,67,93946721,30059889,124006610,75.8,0.8,0.9
STAC6F,AC6,alarm,72,34721089,23509237,10957067,67.7,72578330,22727731,95306061,76.2,0.8,0.9
STAC6M,AC6,alarm,72,40594380,27295887,12922881,67.2,80291096,25920616,106211712,75.6,0.9,1
STAC7F,AC7,alarm,4,35554405,23567008,11672775,66.3,71314533,22773100,94087633,75.8,0.9,1
STAC7M,AC7,alarm,4,36215444,24433900,11498026,67.5,73866802,23347028,97213830,76,0.8,0.9
STAC8F,AC8,alarm,24,36491635,23745191,12459176,65.1,72969492,23547051,96516543,75.6,0.9,1
STAC8M,AC8,alarm,24,49790760,33402676,16019268,67.1,103226318,32293575,135519893,76.2,0.8,0.9
STAC9F,AC9,alarm,1,34453362,23499774,10686782,68.2,70185964,21329940,91515904,76.7,0.8,0.9
STAC9M,AC9,alarm,1,40736479,27206441,13148761,66.8,77596768,25881744,103478512,75,0.9,0.9
STAC10F,AC10,alarm,0.5,32100060,21729446,10120065,67.7,67853991,21348825,89202816,76.1,0.8,0.8
STAC10M,AC10,alarm,0.5,59903216,41742787,17441647,69.7,105195107,33359264,138554371,75.9,0.8,0.9
STAC11F,AC11,alarm,72,51806079,35406715,15842464,68.3,95497152,31344029,126841181,75.3,0.9,0.9
STAC11M,AC11,alarm,72,35234504,23483801,11451569,66.7,71060215,22923885,93984100,75.6,0.9,1
STAC13F,AC13,alarm,4,37739310,25625123,11784595,67.9,73226839,22663953,95890792,76.4,0.8,0.8
STAC13M,AC13,alarm,4,50922348,34871124,15456192,68.5,90661640,30169248,120830888,75,0.8,0.9
STAC14F,AC14,alarm,1,27683057,18224967,9234285,65.8,55073961,17594697,72668658,75.8,0.8,0.9
STAC14M,AC14,alarm,1,40431710,26678337,13429352,66,81414502,26162609,107577111,75.7,0.8,0.9
STAC15F,AC15,alarm,24,43837049,29017485,14455966,66.2,87226134,27887717,115113851,75.8,0.8,0.9
STAC15M,AC15,alarm,24,43174138,29118332,13642885,67.4,82479998,26602077,109082075,75.6,0.8,0.9
STAC16F,AC16,alarm,0.5,36332887,24054862,11980414,66.2,72976469,23339182,96315651,75.8,0.8,0.9
STAC16M,AC16,alarm,0.5,41260084,28120120,12658391,68.2,72100075,23625839,95725914,75.3,0.9,1
STC1F,C1,control,4,38614420,25648172,12656732,66.4,77726613,24813549,102540162,75.8,0.8,1
STC1M,C1,control,4,39325446,25725353,13264122,65.4,69928779,24294043,94222822,74.2,0.8,1
STC2F,C2,control,0.5,33188343,21879209,11044567,65.9,66868895,21556621,88425516,75.6,0.9,1
STC2M,C2,control,0.5,41888614,28308006,13267920,67.6,86305334,27690482,113995816,75.7,0.8,0.9
STC3F,C3,control,1,43510368,29314359,13841621,67.4,87037426,26687173,113724599,76.5,0.8,0.9
STC3M,C3,control,1,47070422,32882679,13723242,69.9,89903983,28654389,118558372,75.8,0.8,1
STC4F,C4,control,24,36977897,25336490,11373426,68.5,78351899,23802999,102154898,76.7,0.8,0.9
STC4M,C4,control,24,48201921,31893840,15906942,66.2,97430039,30702169,128132208,76,0.9,1
STC5F,C5,control,72,41189243,27572425,13272921,66.9,83043713,26395708,109439421,75.9,0.8,0.9
STC5M,C5,control,72,32333507,21386159,10687286,66.1,66276181,21165252,87441433,75.8,0.9,1
STC6F,C6,control,72,34527304,23198093,11071118,67.2,71738602,22307534,94046136,76.3,0.8,0.9
STC6M,C6,control,72,38880383,26386573,12181350,67.9,80901978,25008733,105910711,76.4,1,1.1
STC7F,C7,control,4,35088426,23532728,11299836,67.1,71899017,23318303,95217320,75.5,0.8,0.9
STC7M,C7,control,4,39484843,26946797,12243762,68.2,84082518,26158535,110241053,76.3,0.9,1
STC8F,C8,control,24,42624687,29157593,13050489,68.4,83290427,26386307,109676734,75.9,0.9,1
STC8M,C8,control,24,40564781,27199753,13052879,67.1,84209359,25648562,109857921,76.7,0.8,0.9
STC9F,C9,control,1,35945647,23705111,11964057,65.9,73020326,22861329,95881655,76.2,0.8,0.9
STC9M,C9,control,1,47556768,32477653,14581024,68.3,89301114,28968817,118269931,75.5,0.8,0.9
STC10F,C10,control,0.5,34631985,23653360,10717780,68.3,72493677,21975923,94469600,76.7,0.8,0.9
STC10M,C10,control,0.5,33752589,22115354,11361361,65.5,67208100,21559039,88767139,75.7,0.8,0.9
STC11F,C11,control,72,35918273,23962335,11666587,66.7,73959918,23856994,97816912,75.6,0.8,0.9
STC11M,C11,control,72,45476160,30946343,14155651,68,92237928,28954441,121192369,76.1,0.9,1
STC12F,C12,control,4,35603136,23621532,11696832,66.3,72309904,23008497,95318401,75.9,0.8,0.9
STC12M,C12,control,4,38283867,25582283,12372083,66.8,75532204,24116278,99648482,75.8,0.8,0.9
STC13F,C13,control,0.5,36520683,25216875,11013985,69,75250581,23643941,98894522,76.1,0.9,1
STC13M,C13,control,0.5,41564666,28354578,12875019,68.2,83978498,26993290,110971788,75.7,0.8,0.9
STC14F,C14,control,1,42786987,29804997,12600947,69.7,83655374,26818028,110473402,75.7,0.8,0.9
STC14M,C14,control,1,39000459,26103360,12556585,66.9,75532551,24888809,100421360,75.2,0.9,1
STC15F,C15,control,24,37006048,24495592,12211179,66.2,74336863,23899721,98236584,75.7,0.8,0.9
STC15M,C15,control,24,41590441,28150561,13115220,67.7,85954952,26645123,112600075,76.3,0.9,1